Activity,Mobility,Complexity,Kurtosis,2nd Difference Mean,2nd Difference Max,Coeffiecient of Variation,Skewness,1st Difference Mean,1st Difference Max,Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,Variance,Mean of Vertex to Vertex Slope,FFT Delta MaxPower,FFT Theta MaxPower,FFT Alpha MaxPower,FFT Beta MaxPower,Autro Regressive Mode Order 3 Coefficients for each channel ->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.66458246,1.501905458,1.124011244,0.681399314,3.448955384,14.39154254,-146.2579877,0.033687282,4.849198016,20.02759666,0.051730748,4.247218528,0.002341632,3.816570239,3534.305334,2944.850355,13543.94592,10609.09038,-0.002377393,40.26266979,0.000334637,0.001720056,0.123346678,1.351884683,0.15051809,0.408678628,0.299701972,0.340939768,0.375248038,0.274322667,0.00203777,0.45729415,0.274947248,0.357822135,0.378411332,0.296575302,0.3768077,0.315652397,0.233532794,0.293868049,0.388333454,0.279603571,0.276676766,0.288230663,0.260147537,0.487195497,0.391658809,0.21545909,0.181750577,0.320835037,0.27805186,0.364547119,0.383293151,0.273056283,0.276936687,0.387592104,0.277513146,0.232557983,0.361449667,0.311146781,0.363976161,0.364708995,0.24745794,-0.037362137,0.325367827,0.319049972,1
50.86210313,1.210443255,1.545184527,6.073105042,3.595512402,38.12136902,-3.379276995,-0.56907721,5.083447373,65.26373501,-1.308974355,7.665640213,0.258252584,5.413007754,14363.6461,5970.748833,80781.2872,32349.40129,-0.039492451,73.8147053,23.74611955,0.818844118,1.2191446,1.085658442,0.015551767,-0.055624427,-0.13017448,0.134593108,-0.308287878,-0.291354353,-0.019464218,0.082321376,-0.072163476,0.257605681,-0.08190088,-0.081241697,-0.009282009,-0.420262086,-0.318160369,-0.043904671,-0.350863647,-0.350982608,0.132578844,-0.141407311,-0.223721304,-0.019472503,-0.277956995,-0.275602151,-0.081384357,-0.404369771,-0.3463127,-0.075697525,-0.473337341,-0.297118049,-0.142060388,-0.442806142,-0.267931064,-0.139260403,-0.376663193,-0.301251091,-0.167699956,-0.448658273,-0.298010291,-0.256291431,-0.195866765,-0.229772081,1
37.78275891,1.004759238,1.859639876,-0.025345142,2.93551184,12.21835702,-36.29124512,0.040275558,4.323114186,19.41560405,0.916340345,7.197132087,0.014440044,3.781354563,12188.21403,2884.919818,62886.22384,10282.8258,0.035474291,34.41883536,15.14902154,1.19923866,1.644446794,0.636535818,-0.09759878,-0.308914729,-0.315294129,-0.087176405,-0.376072775,-0.283409547,-0.270227246,-0.174093965,-0.21580124,0.018677079,-0.289093618,-0.284233866,-0.159261596,-0.44380214,-0.273229342,-0.09751246,-0.43462759,-0.306712678,0.196927615,0.076517347,-0.007390713,-0.172280724,-0.190392663,-0.182020679,-0.325684358,-0.416830831,-0.114578313,-0.287735892,-0.45464184,-0.145358483,-0.284618886,-0.408611291,-0.134911064,-0.395471298,-0.360315513,0.004038633,-0.335601311,-0.455301145,-0.134912844,-0.32173907,-0.290969828,-0.181085712,1
45.7362936,0.96623636,1.933932359,-0.140389977,3.109286497,14.97954987,26.60355289,-0.051128633,4.536011205,20.01794166,0.617667167,7.967532421,0.042501812,3.970945497,14586.22082,3186.144787,77738.42148,11884.02979,-0.066295789,39.57195309,17.11373258,2.110037902,2.251551896,0.865128419,-0.140009996,-0.34877074,-0.366708607,-0.129197226,-0.353553275,-0.256197287,-0.291124465,-0.142772116,-0.324085024,0.002759815,-0.349721222,-0.270957895,-0.113039525,-0.454852259,-0.283699931,-0.054460797,-0.240665358,-0.313246901,0.069396656,-0.24222294,-0.345541643,-0.112074721,-0.370366368,-0.332493614,-0.258341724,-0.371285935,-0.113030289,-0.292291821,-0.366821808,-0.210972638,-0.246035824,-0.39764198,-0.27208153,-0.326444381,-0.313958533,-0.193104267,-0.352749441,-0.375999381,-0.194757924,-0.375984857,-0.279418658,-0.22632454,1
45.59802835,1.056202056,1.835212994,0.496487083,3.098468832,12.21586407,-11.61015873,-0.052780132,4.619162985,37.50240145,-0.795729947,7.720604291,0.190259567,4.380031229,14066.127,3900.239246,74750.93081,16540.18035,-0.080351987,48.49889001,21.69341215,1.373754101,1.388280421,0.482929247,0.028539707,-0.447112759,-0.301154962,-0.052293152,-0.540182409,-0.322960623,-0.088895705,-0.499252865,-0.24339549,0.070107835,-0.403628309,-0.284270697,-0.032549584,-0.452101427,-0.273729039,0.086920834,-0.520811536,-0.364655901,0.20574154,-0.356220151,-0.309002341,-0.009887367,-0.381001855,-0.241328151,-0.189394837,-0.445343202,-0.147791288,-0.162348107,-0.484248485,-0.16314471,-0.147822353,-0.46764395,-0.215691201,-0.224035236,-0.504630543,-0.209975908,-0.285432895,-0.533050141,-0.09433286,-0.195368694,-0.481906083,-0.158763146,1
53.67342537,1.113221665,1.765040521,1.171895975,3.273537708,21.54939972,-1.641558176,0.048751903,4.93647067,47.19119329,0.019354234,8.064448843,0.283424331,5.154373385,15585.32168,5432.772266,82694.02802,26766.61886,0.01092506,64.5021899,13.00914767,1.531752588,1.305686171,0.608077218,0.091404279,-0.483030578,-0.336585494,0.113930549,-0.472292169,-0.421473409,-0.143022355,-0.403833105,-0.218185835,0.133203712,-0.319311915,-0.201670117,0.144202477,-0.576399863,-0.407617728,0.079898204,-0.532630115,-0.411219346,0.321644253,-0.206850952,-0.232046737,-0.04837089,-0.424374442,-0.309872586,-0.052390851,-0.438630319,-0.261190024,-0.090127762,-0.516725918,-0.288381933,-0.084925479,-0.486102725,-0.303655149,-0.155225271,-0.531368469,-0.276461674,-0.128118229,-0.460212717,-0.271857001,-0.144216598,-0.45032284,-0.177809785,1
34.01670043,1.07758188,1.772054978,0.04091623,2.898258413,12.20525376,0.787325295,-0.030034338,4.528842839,23.62784684,0.317504681,6.678378166,-0.205526689,4.165700616,10461.17671,3564.391673,50711.24509,13877.99149,-0.065979791,41.8602754,10.46240031,2.224559012,1.12812392,0.431031471,-0.04980169,-0.407813268,-0.372938141,-0.10062096,-0.453272705,-0.258856848,-0.156749143,-0.373051434,-0.214489544,0.146592804,-0.440423395,-0.390469383,0.033822124,-0.508380716,-0.327497685,0.136512629,-0.452047662,-0.392240218,0.314004779,-0.466705378,-0.506320898,-0.014719816,-0.387616258,-0.383423567,-0.126204211,-0.398131419,-0.183554005,-0.183006287,-0.380224951,-0.277425303,-0.06271812,-0.503784589,-0.322986475,-0.16733145,-0.523809511,-0.221741285,-0.186045126,-0.487669189,-0.222287279,-0.251490845,-0.446809273,-0.215805754,1
89.44840302,0.95716553,1.970897993,1.770592553,4.026261991,35.90129657,4.931878144,-0.120452658,5.71040171,69.16172184,2.18455279,11.63096829,-0.692313731,6.092743037,28533.10118,7632.069177,165218.9102,43433.95055,-0.041821603,106.7849473,33.71580394,4.096797734,4.241555113,1.43111989,-0.278478362,-0.575057372,-0.047825741,-0.050266229,-0.545028852,-0.257204475,-0.438349263,-0.585836677,0.117767628,-0.013216673,-0.551840715,-0.259677529,0.071128565,-0.533631127,-0.35231427,-0.016571535,-0.589395276,-0.243117012,-0.071728144,-0.548183056,-0.185862035,-0.218953078,-0.479766739,-0.115488966,-0.204249647,-0.558377281,-0.066973986,-0.113949712,-0.534388779,-0.141216778,-0.281686446,-0.518888427,-0.006693503,-0.303610361,-0.501254061,0.006634471,-0.19360038,-0.523958631,-0.120912515,-0.369242033,-0.571993284,0.068424536,1
86.28864065,0.685713543,2.592499781,-0.395992343,3.548756564,14.58637639,-11.98325445,-0.119462451,4.906676466,22.66397592,-3.416173303,12.29735395,-0.046447443,4.275859232,33272.56828,3690.218506,196388.5463,14613.11886,0.023016897,44.23540791,43.86861822,3.609644408,4.51237427,1.540782885,-0.53171111,-0.295046933,-0.041697874,-0.273485598,-0.396454826,-0.216768058,-0.665877412,-0.249253189,-0.017597181,-0.276851205,-0.378112228,-0.244985489,-0.246508894,-0.426713434,-0.23433877,-0.316928476,-0.365182773,-0.126538792,-0.291159409,-0.343959833,-0.227581174,-0.44006892,-0.395064581,-0.002611944,-0.387281551,-0.424423963,-0.09317063,-0.354483976,-0.441269992,-0.083263575,-0.480414338,-0.356511799,-0.054809615,-0.50431062,-0.32902161,-0.073794146,-0.433308637,-0.388138496,-0.093103567,-0.584260429,-0.290394821,-0.059668305,1
132.9425821,0.691876447,2.713963831,-0.349457297,3.861763599,13.78288548,-10.11446332,0.037679986,5.295387815,42.3928827,0.647445594,14.70259096,-0.244195617,4.904443991,47200.43374,4842.857183,299050.7584,22002.65897,-0.181148573,64.40976172,93.72501981,4.686084751,2.383172473,1.920597162,-0.360329848,-0.48505237,-0.008050491,-0.148909103,-0.580367225,-0.13980939,-0.518677416,-0.425456488,0.073142988,-0.170674951,-0.550607327,-0.159124687,-0.169346117,-0.5695509,-0.096290724,-0.236824619,-0.52729224,-0.07155962,-0.233397966,-0.512675654,-0.142267292,-0.326048781,-0.449983036,-0.116529001,-0.321213227,-0.538306646,-0.062565505,-0.364821385,-0.506152222,-0.059223353,-0.376090717,-0.543615317,0.005674,-0.383756103,-0.5513736,-0.016328797,-0.380561306,-0.542036546,-0.037000181,-0.466993693,-0.472332369,0.016761536,1
