Activity,Mobility,Complexity,Kurtosis,2nd Difference Mean,2nd Difference Max,Coeffiecient of Variation,Skewness,1st Difference Mean,1st Difference Max,Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,Variance,Mean of Vertex to Vertex Slope,FFT Delta MaxPower,FFT Theta MaxPower,FFT Alpha MaxPower,FFT Beta MaxPower,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Result
-0.061149741,3.181130112,-1.99353816,0.132882065,-0.042998846,-0.056038872,-0.079173413,0.038549617,0.005108692,-0.063892349,0.021432378,-0.799492995,-0.014070174,-0.023634708,-0.400734047,-0.033989491,-0.338549649,-0.032229871,-0.119142806,-0.037574071,-0.969278522,-1.227131156,-0.889829744,-0.153594642,2.607443412,0.230620398,2.809557383,2.989545933,0.147739661,3.140128354,2.682696973,0.234322342,2.634556642,3.103695089,0.226628837,3.004505542,3.109520314,0.169432158,2.60714264,3.3443932,0.198980896,2.737671608,2.984909479,0.046337374,2.222451275,3.731979653,0.12200956,2.192634379,2.827258406,-0.080438291,2.778072689,3.127090161,0.141308466,2.68491907,3.168779255,0.175071633,2.656997635,2.853305641,-0.038786136,2.813244566,3.254782597,0.067675386,2.711554384,2.172791494,0.147824611,2.721023517,1
-0.052511879,2.039121185,-1.313668908,2.776809408,-0.020643566,0.172811603,-0.036422317,-2.734777584,0.033640807,0.30459749,-0.583953187,-0.418638924,0.72244032,0.084582778,-0.30548807,-0.031944102,-0.275193519,-0.031294732,-0.251671475,-0.034634666,0.07299534,-0.95832909,-0.633612865,-0.15441175,2.270895527,-1.184727205,0.490483335,2.457738505,-2.044137261,-0.232297369,2.619876933,-1.045771409,0.877827229,2.829100137,-1.191360777,0.964811179,2.067275862,-2.004587479,-0.555286674,2.296789635,-2.183393363,-0.365291023,2.585636652,-1.451089281,-0.099645148,2.308518172,-2.10488178,-0.145069978,2.085496982,-2.586424586,-0.466548203,1.979462025,-2.695858535,-0.325097619,1.977787496,-2.577332885,-0.13283914,1.900787149,-2.42857785,-0.390964304,1.834639908,-2.616143151,-0.324327098,1.598944089,-1.620525096,-0.19239092,1
-0.055815556,1.233208853,-0.806066618,-0.213683768,-0.12131768,-0.076997075,-0.046269989,0.068862359,-0.05896954,-0.06887759,0.406102184,-0.470836471,0.020748997,-0.026021868,-0.324621382,-0.034030002,-0.292055607,-0.032243905,0.016016172,-0.038086034,-0.304357128,-0.833194066,-0.534169712,-0.15579021,1.988746792,-1.956838907,-0.508190055,1.886182492,-2.261501335,-0.184932412,1.887249637,-1.921130098,0.150875662,2.174431315,-1.829617036,-0.13106853,1.662407799,-2.074128901,-0.29773192,2.130524844,-2.453357979,-0.147449365,2.763937042,-0.69155169,0.938529764,1.87921019,-1.813675612,0.300426014,1.396830092,-2.629484485,0.737700535,1.426721181,-2.633938887,0.4760588,1.572567492,-2.463992012,0.547531246,1.244430109,-2.375648884,1.206382921,1.38616409,-2.638062232,0.583415078,1.427395744,-1.943173432,0.066060011,1
-0.053806594,1.082268285,-0.686141692,-0.270098232,-0.094810718,-0.050368128,-0.027451079,-0.351689502,-0.033038189,-0.063970998,0.273220761,-0.385004432,0.101510631,-0.013170094,-0.303530486,-0.033826386,-0.278060739,-0.032175031,-0.347379548,-0.037634583,-0.218120056,-0.533576505,-0.392217832,-0.155088607,1.882991484,-2.078333067,-0.785558078,1.77788423,-2.189288638,-0.022699684,1.826196486,-1.814202593,-0.397149205,2.130817715,-2.016380087,-0.059396468,1.787183715,-2.106772878,-0.357751692,2.264049764,-1.828232923,-0.179602702,2.410568681,-1.802464204,-0.684263437,2.04835631,-2.41220074,-0.415902635,1.586664894,-2.472101517,0.745745116,1.414844802,-2.343078243,0.129674036,1.682239162,-2.427633576,-0.154067934,1.421262179,-2.225558657,0.174885168,1.34036028,-2.376395021,0.250338723,1.28520918,-1.903984728,-0.174089695,1
-0.053841518,1.434772407,-0.845497148,0.042206771,-0.096460806,-0.077021117,-0.038885099,-0.35928807,-0.022910109,0.078455964,-0.355607783,-0.412515252,0.526756743,0.014560543,-0.308104804,-0.033343686,-0.280875779,-0.031974751,-0.397570746,-0.036852518,-0.017104157,-0.775785267,-0.594065927,-0.156261663,2.303281856,-2.378111712,-0.431912848,1.97608544,-2.787747449,-0.420726091,2.417026445,-3.031167692,0.011221,2.315352545,-2.182440616,-0.131267367,2.004465327,-2.098646441,-0.300596296,2.70254551,-2.731122075,-0.432574003,2.788359051,-2.199781185,-0.508910582,2.33544719,-2.447570386,0.01809191,1.781021988,-2.728010598,0.565103435,1.753581603,-2.731996331,0.382163237,1.961409213,-2.659659281,0.13435719,1.683612316,-2.842898381,0.086608797,1.520167305,-2.894605868,0.809268785,1.758631967,-2.590947152,0.18455905,1
-0.051801775,1.658186976,-0.958771443,0.373406604,-0.069756428,0.012991511,-0.035902369,0.107862132,0.015738703,0.157380061,0.00702788,-0.374206755,0.794884488,0.067050766,-0.294743217,-0.032307753,-0.27339119,-0.03153487,-0.071643045,-0.035450511,-0.398282623,-0.723809904,-0.61337792,-0.155877556,2.460039026,-2.487600974,-0.62305155,2.404485875,-2.570045574,-1.008034824,2.258890449,-2.705420739,0.138807212,2.488236424,-1.922704359,0.314662641,2.481605357,-2.465845683,-1.06807638,2.680764792,-2.769212427,-0.661701495,3.109507359,-1.679181439,-0.139599071,2.227329424,-2.591811364,-0.308214894,2.167227918,-2.704813851,-0.024193158,1.941845335,-2.839561847,-0.278978646,2.140192462,-2.720841992,-0.315560606,1.859888602,-2.929467898,-0.261260278,1.940365365,-2.654268647,-0.178767221,1.892709491,-2.483797282,0.083450225,1
-0.056766815,1.51854296,-0.947448518,-0.181191221,-0.127000183,-0.077123443,-0.035175617,-0.254634379,-0.033911313,-0.034565009,0.139676737,-0.528632016,-0.612314207,3.17E-05,-0.339810982,-0.033570706,-0.303527797,-0.032089263,-0.346251198,-0.037434109,-0.510067018,-0.49590351,-0.654895105,-0.15642095,2.107932151,-2.258314007,-0.819164828,1.851532481,-2.509056352,-0.038555326,2.218786373,-2.600337311,0.157514163,2.524922785,-2.295787706,-0.704594829,2.183634942,-2.264905269,-0.60881027,2.856354678,-2.509501504,-0.568309779,3.088339571,-2.58485777,-1.455846356,2.321870637,-2.469567413,-0.658355436,1.959152531,-2.564867608,0.379256149,1.699729934,-2.387469559,-0.22113732,2.203316486,-2.779449585,-0.414436428,1.828875183,-2.904994222,0.025049594,1.785638725,-2.744865099,0.097120159,1.611527164,-2.471877093,-0.118250862,1
-0.042765467,1.046726905,-0.62647077,0.666989068,0.045061429,0.151401221,-0.033935515,-0.670650235,0.110005301,0.336350168,0.970337231,0.023147222,-2.013284984,0.130659898,-0.180865195,-0.030821115,-0.195629978,-0.03081794,-0.259988299,-0.03174623,0.510594749,0.119990282,0.073080014,-0.153351451,1.537711012,-2.768128748,0.934733823,1.981309333,-2.803288412,-0.028704289,1.396065671,-3.32675021,1.839069662,2.08704184,-2.639008238,0.00150206,2.284343224,-2.339499383,-0.751064518,2.381563476,-2.952162088,0.165489582,2.019533911,-2.868833708,0.082042255,1.748086262,-2.776025395,0.617151226,1.739147179,-3.118606261,0.985084842,1.879746363,-2.898061384,0.497923343,1.580902901,-2.829512157,1.203338128,1.479758013,-2.831966328,1.219964953,1.765458133,-2.864607165,0.661335912,1.302883161,-2.896578585,1.390581783,1
-0.043563583,-0.016877876,0.376935571,-0.395437803,-0.027775533,-0.054159894,-0.038996734,-0.66609428,0.0121097,-0.042416622,-1.521458177,0.097390752,-0.154484899,0.007499051,-0.139180739,-0.033485652,-0.166259579,-0.032057642,-0.028466093,-0.03722603,0.956232279,-0.040264233,0.136402309,-0.15301487,0.906257596,-1.914565328,0.967792106,1.406016675,-2.32685993,0.212367574,0.731321215,-2.177711001,1.153987568,1.364678309,-2.103838448,0.080818954,1.426884784,-2.023645885,-0.074802413,1.450005113,-2.229542782,0.73914291,1.411524161,-2.157050029,-0.118168743,1.126871021,-2.494337745,1.154503971,1.223191339,-2.655722983,0.848949347,1.252722518,-2.589651221,0.80386505,1.01602239,-2.291305138,0.957233951,0.965607246,-2.274328457,0.799143621,1.125181246,-2.416449721,0.816110591,0.739286821,-1.941222653,0.710602671,1
-0.031779387,0.007269651,0.573006111,-0.372618442,0.019969435,-0.061908761,-0.038437569,0.056920099,0.059455645,0.11829342,0.286469356,0.365363633,-0.723603197,0.050108838,-0.016682687,-0.032706513,-0.069523446,-0.031739787,-0.75749036,-0.035458608,3.144579575,0.313842813,-0.36144262,-0.151849134,1.333608656,-2.493764058,1.149311173,1.727081748,-2.916607058,0.671176015,1.161379569,-2.779239318,1.613224097,1.655603224,-2.635208792,0.544349696,1.635184758,-2.445612653,0.716520041,1.698447575,-2.752008875,1.009682167,1.571572095,-2.745078981,0.291254314,1.447205591,-2.676975955,0.612200124,1.409433939,-3.049251045,1.007994293,1.225774998,-2.804541682,0.930776181,1.312560434,-2.911470908,1.266595404,1.274441912,-2.994238612,1.099815765,1.266072917,-2.924257763,1.128362013,1.046661001,-2.5584672,1.116329447,1
